lat,lon,T_CRU_20100131
23.5,39.5,19.7251
-88.5,16.5,
-83.5,35.5,
-3.5,-69.5,25.54998
77.5,-63.5,-28.3004
-88.5,-168.5,
-18.5,128.5,29
-78.5,-30.5,
26.5,99.5,2.85
-17.5,-58.5,27.44978
-80.5,-175.5,
12.5,77.5,22.6503
47.5,23.5,-2.575
69.5,-128.5,-30.1
26.5,24.5,15.0746
69.5,130.5,-43.125
64.5,153.5,-38.475
-0.5,-58.5,26.425
27.5,41.5,11.775
-88.5,-105.5,
56.5,90.5,-18.2004
50.5,31.5,-3.6002
-14.5,-56.5,26.52524
70.5,88.5,-23.1254
39.5,125.5,-7.1999
38.5,93.5,-10.1501
61.5,81.5,-21.0751
49.5,38.5,-5.55
-32.5,-58.5,25.7251
-76.5,78.5,
56.5,98.5,-20.92465
31.5,4.5,10.95
69.5,155.5,-35.725
22.5,54.5,18.8499
-87.5,-105.5,
-17.5,20.5,25.6499
-76.5,160.5,
20.5,74.5,22.4504
45.5,-78.5,-15.2248
-17.5,-50.5,26.02519
60.5,96.5,-26.6002
5.5,-72.5,20.149796
-74.5,-68.5,
28.5,-99.5,14.75
-87.5,40.5,
53.5,91.5,-19.4502
40.5,-121.5,2.1997
14.5,121.5,23.575
48.5,-106.5,-12.7752
-26.5,143.5,30.025
52.5,-2.5,2.95
60.5,147.5,-27.9998
58.5,34.5,-6.6996
18.5,94.5,22.4996
48.5,118.5,-23.22527
-23.5,137.5,30.0501
-89.5,-76.5,
15.5,12.5,22.8001
53.5,136.5,-24.3754
29.5,68.5,11.425
-68.5,56.5,
-4.5,-63.5,26.94953
14.5,-9.5,22.1249
69.5,154.5,-35.675
-83.5,29.5,
13.5,100.5,25.1996
81.5,-59.5,-29.875
16.5,100.5,20.3497
-79.5,82.5,
62.5,-111.5,-24.7253
51.5,16.5,-2.4748
-72.5,136.5,
68.5,-117.5,-26.65
-77.5,8.5,
-88.5,73.5,
62.5,-99.5,-28.4
51.5,56.5,-13.8505
6.5,100.5,26.1995
-13.5,27.5,23.6997
-74.5,-85.5,
71.5,-109.5,-28.95
68.5,131.5,-43.4
-76.5,44.5,
-18.5,127.5,29.0496
67.5,173.5,-33.4
-80.5,-54.5,
60.5,-70.5,-23.6747
-78.5,112.5,
-73.5,1.5,
52.5,39.5,-7.1745
4.5,-70.5,26.8001703
-84.5,171.5,
53.5,-102.5,-19.54981
20.5,50.5,19.5
35.5,-82.5,1.325
67.5,-126.5,-29.6504
25.5,101.5,9.7001
14.5,-6.5,22.6503
-0.5,132.5,24.52537
46.5,-103.5,-9.8503
45.5,119.5,-18.7251
-24.5,148.5,25.85
53.5,34.5,-5.6
-88.5,123.5,
-79.5,-6.5,
54.5,-68.5,-24.1504
-82.5,96.5,
-73.5,4.5,
38.5,38.5,-1.025
-78.5,-50.5,
24.5,85.5,17.8497
-69.5,121.5,
46.5,97.5,-20.55
-76.5,-4.5,
17.5,97.5,23.0253
40.5,-81.5,-6.725
-79.5,-134.5,
-27.5,-60.5,26.0753
-19.5,30.5,23.0501
20.5,-101.5,16.1498
78.5,-84.5,-32.55
-65.5,-60.5,
47.5,98.5,-26.6502
52.5,128.5,-26.2749
-80.5,68.5,
-10.5,-43.5,26.55013
54.5,-60.5,-18.6746
52.5,49.5,-11.2498
43.5,-71.5,-10.3504
50.5,-62.5,-16.0996
20.5,55.5,20.2254
-27.5,-66.5,19.125
-44.5,-71.5,13.825
15.5,-12.5,22.7747
-74.5,11.5,
43.5,-114.5,-4.6005
-73.5,87.5,
48.5,59.5,-14.4749
-3.5,34.5,22.749692
81.5,-30.5,-30.175
59.5,-102.5,-24.9504
49.5,131.5,-24.67488
66.5,154.5,-37.825
-76.5,-28.5,
-84.5,-126.5,
-88.5,6.5,
21.5,48.5,18.65
5.5,16.5,24.80038
-18.5,32.5,21.0004
44.5,82.5,-13.3
-75.5,127.5,
67.5,108.5,-28.85
-84.5,-171.5,
17.5,5.5,22.2004
-77.5,113.5,
69.5,-72.5,-26.875
67.5,171.5,-34.575
26.5,69.5,17.2996
-77.5,160.5,
54.5,9.5,0.5
68.5,173.5,-34.325
-86.5,74.5,
-72.5,113.5,
